Tract,neighborhood,Labor Force,Unemployed,Employed,Family Poverty,No HS,Some HS,HS Graduates,Bachelors Degree,Grad/Prof Degree,Private Health Ins,Public Health Ins,No Health Ins,No Vehicles,One Vehicle,Two Vehicles,Three+ Vehicles,Drive Alone,Carpooled,Walked,Other means,WFH,Public Transit,Total Population,Male,Female,Census Tract Number,Life Expectancy,Life Expectancy Standard Error,NAME10,Life Expectancy_abvavg,Life_Expectancy_Difference,Unemployed_cat_10-15%,Unemployed_cat_15-20%,Unemployed_cat_20-25%,Unemployed_cat_25 or more,Unemployed_cat_5-10%,Unemployed_cat_less than 5%,sex_cat_More Men,sex_cat_More Women,vehicle_cat_No Vehicles,vehicle_cat_One Vehicle,vehicle_cat_Three+ Vehicles,vehicle_cat_Two Vehicles,transport_cat_Carpooled,transport_cat_Drive Alone,transport_cat_Public Transit,transport_cat_Walked,education_cat_Bachelors Degree,education_cat_Grad/Prof Degree,education_cat_HS Graduates,education_cat_No HS,education_cat_Some HS,health_ins_cat_No Health Ins,health_ins_cat_Private Health Ins,health_ins_cat_Public Health Ins,area_Central,area_Far North Side,area_Far South Side,area_Far Southwest Side,area_North Side,area_Northwest Side,area_South Side,area_Southwest Side,area_West Side
670900.0,WEST ENGLEWOOD,698.0,24.5,33.1,25.3,2.0,16.1,30.1,10.8,3.3,33.3,45.3,29.0,32.3,41.6,24.2,1.9,46.8,9.7,0.0,0.0,3.3,40.2,1506.0,50.0,50.0,6709.0,77.7,3.947,6709.0,1,0.9406942701798329,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
691300.0,GREATER GRAND CROSSING,1282.0,16.7,45.5,17.5,1.4,8.0,37.2,11.3,10.2,46.9,47.7,15.6,23.1,48.1,23.8,5.1,58.6,0.0,0.0,0.0,7.6,33.8,2658.0,54.2,45.8,6913.0,72.7,1.5784,6913.0,0,-4.059305729820167,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
430700.0,SOUTH SHORE,1119.0,8.8,43.6,55.5,8.1,7.0,23.9,14.5,5.6,42.0,44.6,19.7,43.4,47.1,8.1,1.4,53.8,0.0,2.3,0.0,6.8,37.1,2548.0,49.5,50.5,4307.0,73.8,1.21,4307.0,0,-2.959305729820173,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
490400.0,ROSELAND,459.0,9.3,51.5,0.4,1.9,4.0,21.3,11.3,11.4,66.8,41.9,6.1,15.9,38.8,37.6,7.6,65.3,4.0,0.0,2.4,7.4,20.9,929.0,48.2,51.8,4904.0,70.6,3.1173,4904.0,0,-6.159305729820176,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
610300.0,NEW CITY,2753.0,12.9,53.4,24.9,28.9,13.3,35.5,4.3,3.7,26.2,47.6,28.6,25.0,40.8,21.1,13.1,50.9,17.5,12.4,1.9,1.6,15.7,5876.0,46.3,53.7,6103.0,75.6,1.7095,6103.0,0,-1.1593057298201757,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
611800.0,NEW CITY,1124.0,21.2,43.1,47.9,28.1,12.7,34.3,5.2,0.0,17.7,51.1,32.8,30.8,43.6,17.6,8.0,56.4,14.9,2.0,0.0,2.2,24.5,2531.0,45.2,54.8,6118.0,72.2,2.7044,6118.0,0,-4.559305729820167,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
681200.0,ENGLEWOOD,1003.0,22.4,36.6,44.2,9.6,15.7,30.5,8.5,0.0,21.2,65.0,17.0,57.7,32.1,9.0,1.2,45.2,7.5,1.5,0.0,4.6,41.3,2437.0,42.6,57.4,6812.0,64.7,2.0377,6812.0,0,-12.059305729820167,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
711000.0,AUBURN GRESHAM,1524.0,17.8,40.7,25.0,7.9,18.8,30.5,7.2,2.8,36.2,52.0,21.5,38.5,44.1,15.6,1.7,42.5,6.4,2.7,0.8,3.2,44.2,3153.0,46.3,53.7,7110.0,73.7,1.8041,7110.0,0,-3.059305729820167,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
210900.0,AVONDALE,1739.0,6.0,64.7,20.5,15.1,9.0,24.7,23.2,13.5,53.0,28.5,23.0,19.5,50.1,24.8,5.6,58.5,17.5,1.8,4.1,4.4,13.6,3141.0,49.6,50.4,2109.0,79.2,1.3956,2109.0,1,2.440694270179833,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
260200.0,WEST GARFIELD PARK,405.0,13.5,36.7,37.1,4.4,7.4,51.1,0.0,1.3,24.6,49.6,27.9,50.9,27.5,17.1,4.5,50.3,0.0,2.4,8.8,6.1,32.4,1230.0,44.4,55.6,2602.0,65.4,3.9413,2602.0,0,-11.359305729820164,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
